,id,tweet,label,clean_tweet
0,1,Chinese converting to Islam after realising that no muslim was affected by #Coronavirus #COVD19 in the country,fake,chinese convert islam realise muslim affect coronavirus covd country
1,2,11 out of 13 people (from the Diamond Princess Cruise ship) who had intially tested negative in tests in Japan were later confirmed to be positive in the United States.,fake,people diamond princess cruise ship intially test negative test japan later confirm positive united state
2,3,"COVID-19 Is Caused By A Bacterium, Not Virus And Can Be Treated With Aspirin",fake,covid cause bacterium virus treat aspirin
3,4,Mike Pence in RNC speech praises Donald Trump’s COVID-19 “seamless” partnership with governors and leaves out the president's state feuds: https://t.co/qJ6hSewtgB #RNC2020 https://t.co/OFoeRZDfyY,fake,mike penny rnc speech praise donald trump ’ s covid “ seamless ” partnership governor leave president state feud rnc
4,5,6/10 Sky's @EdConwaySky explains the latest #COVID19 data and government announcement. Get more on the #coronavirus data here👇 https://t.co/jvGZlSbFjH https://t.co/PygSKXesBg,real,sky edconwaysky explain late covid data government announcement get coronavirus data
5,6,No one can leave managed isolation for any reason without returning a negative test. If they refuse a test they can then be held for a period of up to 28 days. ⁣ ⁣ On June the 16th exemptions on compassionate grounds have been suspended. ⁣ ⁣,real,one leave manage isolation reason without return negative test refuse test hold period day ⁣ ⁣ june exemption compassionate ground suspend ⁣ ⁣
6,7,#IndiaFightsCorona India has one of the lowest #COVID19 mortality globally with less than 2% Case Fatality Rate. As a result of supervised home isolation &amp; effective clinical treatment many States/UTs have CFR lower than the national average. https://t.co/QLiK8YPP7E,real,indiafightscorona india one low covid mortality globally less case fatality rate result supervise home isolation amp effective clinical treatment many state uts cfr low national average
7,8,RT @WHO: #COVID19 transmission occurs primarily through direct indirect or close contact with infected people through their saliva and res…,real,rt covid transmission occur primarily direct indirect close contact infect people saliva res…
8,9,News and media outlet ABP Majha on the basis of an internal memo of South Central Railway reported that a special train has been announced to take the stranded migrant workers home.,fake,news medium outlet abp majha basis internal memo south central railway report special train announce take strand migrant worker home
9,10,"???Church services can???t resume until we???re all vaccinated, says Bill Gates.??�",fake,church service resume vaccinate say bill gate
10,11,You can still fly the friendly skies without fear of COVID if airlines stay serious about safety. https://t.co/H8mGjwDl7G #coronavirus,real,still fly friendly sky without fear covid airline stay serious safety coronavirus
11,12,India records yet another single-day rise of over 28000 new cases while more than 5.5 lakh individuals have recovered from COVID-19. Kerala government sets up its first plasma bank in the state following in the steps of Delhi and West Bengal. #COVID19 #CoronavirusFacts https://t.co/JhSQUqMvta,fake,india record yet another single day rise new case lakh individual recover covid kerala government set first plasma bank state follow step delhi west bengal covid coronavirusfacts
12,13,A conspiracy theory audio about #COVID19 testing in #India circulating on @WhatsApp allegedly from MLA Geeta Jain ( @connectGEETA ). We do a quick #FactCheck on this to find that the minister has already clarified on same. https://t.co/SBhSTSr1MH,fake,conspiracy theory audio covid test india circulate whatsapp allegedly mla geeta jain connectgeeta quick factcheck find minister already clarify
13,14,Tomorrow April 6 we will pass 10000 coronavirus deaths. We passed 5000 on April 2. We passed 1000 on March 26. We passed 100 on March 18.,real,tomorrow april pas coronavirus death pass april pass march pass march
14,15,"Labour's @Keir_Starmer asks about problems with #COVID19 testing adding that ""pretending there isn't a problem is part of the problem"". The PM says testing is ""at a record high"" with the UK ""testing more people than any other European country"". #PMQs: https://t.co/EjtlULskwu https://t.co/gqX6NijZmh",real,labour keir starmer ask problem covid test add pretend problem part problem pm say testing record high uk test people european country pmqs
